"ITTER107","Regione della sede didattica","TIPO_DATO6","Tipo dato","NATGIUR","Tipo Ateneo","SEXISTAT1","Sesso","TIPCORSOLAUREA","Tipologia di corso di laurea","AREADIDATTICA","Gruppo di corsi di laurea","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2007","2007",5326,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2008","2008",5367,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2009","2009",5443,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2010","2010",5628,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2011","2011",5417,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2012","2012",5370,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2013","2013",5403,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2014","2014",5597,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2015","2015",5427,,
"IT","Italia","18","laureati","1","pubblica","1","maschi","9999","totale","1","gruppo scientifico","2016","2016",5923,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2007","2007",2412,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2008","2008",2435,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2009","2009",2633,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2010","2010",2638,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2011","2011",2656,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2012","2012",2760,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2013","2013",2809,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2014","2014",2740,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2015","2015",2744,,
"IT","Italia","18","laureati","1","pubblica","2","femmine","9999","totale","1","gruppo scientifico","2016","2016",2822,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2007","2007",71,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2008","2008",71,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2009","2009",67,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2010","2010",81,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2011","2011",78,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2012","2012",43,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2013","2013",39,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2014","2014",34,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2015","2015",35,,
"IT","Italia","18","laureati","2","privata","1","maschi","9999","totale","1","gruppo scientifico","2016","2016",39,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2007","2007",35,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2008","2008",28,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2009","2009",39,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2010","2010",52,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2011","2011",50,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2012","2012",50,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2013","2013",37,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2014","2014",44,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2015","2015",37,,
"IT","Italia","18","laureati","2","privata","2","femmine","9999","totale","1","gruppo scientifico","2016","2016",34,,
"IT","Italia","18","laureati","9","totale","1","maschi","9999","totale","1","gruppo scientifico","2007","2007",5397,,
